Incident ID,Department,Date,Location,Individual's Weapon,Shooting Type,Initial incident
1,Amarillo PD,4/5/2010,3404 Janet Drive,Vehicle,Non-Fatal,Stolen vehicle
2,Amarillo PD,4/17/2010,401 E Willow Creek Dr,Vehicle,Non-Fatal,Traffic stop
3,Amarillo PD,7/29/2010,4901 S Washington St,Gun,Non-Fatal,Fight / disorderly conduct
4,Amarillo PD,8/16/2010,801 N Lincoln St,Vehicle,Fatal,Stolen vehicle
5,Amarillo PD,1/30/2011,700 S. Polk St,Vehicle,Fatal,Shots fired / shooting
6,Amarillo PD,9/19/2011,900 N Tennessee,Gun,No Hit,Other
7,Amarillo PD,9/21/2011,441 S Western St,Gun,Fatal,Shots fired / shooting
8,Amarillo PD,9/22/2011,100 S Buchanan St,BB Gun/Toy Gun,Fatal,Burglary / home invasion
9,Amarillo PD,2/6/2012,2909 E IH 40 HWY,Gun,No Hit,Other
10,Amarillo PD,1/12/2013,1911 E IH 40,Vehicle,No Hit,Drug suspicion / drug warrant
11,Amarillo PD,7/7/2013,1615 S Jackson St,Gun,Fatal,Fight / disorderly conduct
12,Amarillo PD,8/19/2013,2813 E Amarillo Blvd,Gun,No Hit,Robbery
13,Amarillo PD,8/27/2013,5903 Winkler Dr,Gun,No Hit,Weapons disturbance
14,Amarillo PD,3/18/2014,1501 S. Coulter,Vehicle,Non-Fatal,Fight / disorderly conduct
15,Amarillo PD,12/20/2015,833 S Travis St,Gun,Fatal,Mental crisis / suicide attempt
16,Austin PD,1/25/2014,9400 N. Lamar Blvd,Vehicle,No Hit,Traffic stop
17,Austin PD,3/18/2014,6301 Berkman Dr.,BB Gun/Toy Gun,Non-Fatal,Domestic Disturbance
18,Austin PD,9/8/2014,13712 Maye Pl.,Gun,Fatal,Robbery
19,Austin PD,11/28/2014,715 E 8th St.,Gun,Fatal,Shots fired / shooting
20,Austin PD,1/14/2013,7112 Ed Bluestein Blvd SVRD SB / 5431 N IH 35 SVRD NB,Gun,No Hit,Robbery
21,Austin PD,3/1/2013,10617 Lanshire Dr #B,Gun,Fatal,Shots fired / shooting
22,Austin PD,4/23/2013,706 Valdez St,Gun,Fatal,Weapons disturbance
23,Austin PD,5/8/2013,3300 E 12th St,Unarmed,No Hit,Traffic stop
24,Austin PD,5/17/2013,6855 E US 290 Hwy SVRD EB,Gun,No Hit,Weapons disturbance
25,Austin PD,7/26/2013,3500 CRAWFORD AVE,Unarmed,Fatal,Suspicious activity / patrol
26,Austin PD,8/31/2013,9416 Neils Thompson Dr,Vehicle,Non-Fatal,Burglary / home invasion
27,Austin PD,10/18/2013,1609 Cripple Creek Dr,Gun,Non-Fatal,Shots fired / shooting
28,Austin PD,11/10/2013,2900 Cole St #204,Gun,Non-Fatal,Other
29,Austin PD,2/3/2012,7201 Wood Hollow Dr,Gun,Non-Fatal,Mental crisis / suicide attempt
30,Austin PD,4/5/2012,5200 Block Overbrook Dr,Other,Fatal,Traffic stop
31,Austin PD,9/25/2012,2915 S IH 35 Svrd NB,Vehicle,Fatal,Stolen vehicle
32,Austin PD,10/20/2012,300 Blk E 6th St,Vehicle,No Hit,Suspicious activity / patrol
33,Austin PD,5/9/2011,1919 Burton Dr,Gun,Fatal,Shots fired / shooting
34,Austin PD,5/30/2011,800 Block E 8th St,Vehicle,Fatal,Suspicious activity / patrol
35,Austin PD,8/15/2011,3630 S Congress Ave,Gun,No Hit,Robbery
36,Austin PD,11/5/2011,810 E Slaughter Ln,Other,No Hit,Fight / disorderly conduct
37,Austin PD,12/5/2011,3708 Aspen Creek Pkwy,Vehicle,Non-Fatal,Stolen vehicle
38,Austin PD,12/28/2011,7800 N IH 35 Svrd SB,Vehicle,No Hit,Drug suspicion / drug warrant
39,Austin PD,9/25/2010,7800 E Ben White Blvd WB,Gun,Suicide,Domestic Disturbance
40,Austin PD,10/1/2010,801 E William Cannon Dr #135,Gun,Fatal,Burglary / home invasion
41,Austin PD,11/2/2010,12320 Tomanet Trail,Gun,Fatal,Shots fired / shooting
42,Austin PD,12/23/2010,13006 Campos Dr,Knife,Fatal,Traffic stop
43,Austin PD,1/23/2015,Slaughter/Congress,Gun,Fatal,Mental crisis / suicide attempt
44,Austin PD,2/7/2015,8206 Pax Drive,Gun,Fatal,Shots fired / shooting
45,Austin PD,5/24/2015,6409 Springdale Rd,Gun,Non-Fatal,Weapons disturbance
46,Austin PD,5/25/2015,6505 Shirley,Gun,Fatal,Mental crisis / suicide attempt
47,Austin PD,7/5/2015,10607 Golden Quail Drive,BB Gun/Toy Gun,Fatal,Other
48,Austin PD,7/5/2015,700 San Jacinto Blvd,Gun,Fatal,Shots fired / shooting
49,Austin PD,7/12/2015,9400 Claxton Dr,Gun,Fatal,Suspicious activity / patrol
50,College  Station PD,8/13/2012,211 Fidelity St.,Gun,Fatal,Other
51,Laredo PD,3/28/2011,1620 Iturbide St.,Vehicle,Non-Fatal,Stolen vehicle
710,Laredo PD,5/26/2012,1120 Santa Ursula Ave,Vehicle,No Hit,Other
52,Laredo PD,11/17/2014,3725 Calle Alta Ct.,Vehicle,Non-Fatal,Robbery
53,Laredo PD,8/30/2014,5301 Sta. Maria Ave.,BB Gun/Toy Gun,Fatal,Weapons disturbance
54,Laredo PD,2/14/2015,900 Gale St.,Gun,Fatal,Traffic stop
55,Laredo PD,3/9/2015,1807 Convent Ave.,Gun,Fatal,Shots fired / shooting
56,Laredo PD,11/9/2015,11119 Kirby Dr,Gun,Fatal,Mental crisis / suicide attempt
57,Irving PD,12/20/2010,"14100 Preston Road, Dallas",Vehicle,Fatal,Burglary / home invasion
58,Irving PD,8/27/2011,1710 Collier Street,Gun,Non-Fatal,Domestic Disturbance
59,Irving PD,6/10/2012,3706 Block Drive,Gun,Fatal,Shots fired / shooting
60,Irving PD,6/19/2013,625 Balleywood Rd,Gun,Fatal,Domestic Disturbance
61,Irving PD,11/9/2014,3135 E. SH 114,Vehicle,Fatal,Drug suspicion / drug warrant
62,Irving PD,12/5/2015,600 block of Jeff Ct,Gun,Fatal,Burglary / home invasion
