Incident ID,Department,Officer Name,Off duty?,Officer Age,Officer Race/Ethnicity,Officer Gender,Post action
1,Amarillo PD,"Ofc. Perales, Victor",,29,H,M,
2,Amarillo PD,"Ofc. Newton,Thomas",,37,W,M,
3,Amarillo PD,Ofc. Mogelinski,,35,W,M,
3,Amarillo PD,Ofc. Kennedy,,25,W,M,
4,Amarillo PD,"Ofc. Bullard,Jowell",,35,W,M,
5,Amarillo PD,"Ofc. Thurman,Cole",,23,W,M,
5,Amarillo PD,"Ofc. Griffith,Dewayne",,30,B,M,
6,Amarillo PD,Ofc. Castillo,,30,H,M,
6,Amarillo PD,Ofc. Ogden,,34,W,M,
6,Amarillo PD,Ofc. Rameriz,,25,H,M,
7,Amarillo PD,Ofc. Anderson,,43,W,M,
8,Amarillo PD,"Ofc. Dewitt, Billy",,34,W,M,
8,Amarillo PD,"Ofc. Acker, Scott",,38,W,M,
9,Amarillo PD,"Cpl.Hudson,Toby",,33,W,M,
10,Amarillo PD,Ofc. Gipson,,35,W,M,
11,Amarillo PD,Ofc. R. Matthews,,25,W,M,
12,Amarillo PD,Ofc. McDaniel,,36,W,M,
12,Amarillo PD,Cpl. Lichtie,,28,W,M,
13,Amarillo PD,Cpl. Henderson,,37,W,M,
14,Amarillo PD,Ofc. Slatten,,34,W,M,
15,Amarillo PD,Cpl. Clay Hegwood,,35,W,M,
15,Amarillo PD,Ofc. Rafael Quiles,,32,H,M,
16,Austin PD,Ofc. John Gabrielson,,39,W,M,
17,Austin PD,Sgt. Greg White,,39,W,M,
18,Austin PD,Det. Scott Glasgow,,40,W,M,
18,Austin PD,Det. Philip Hogue,,41,W,M,
19,Austin PD,Sgt. Adam Johnson,,39,W,M,
20,Austin PD,Ofc. Roosevelt Granderson,,39,B,M,
20,Austin PD,Ofc. Aaron Pippin,,46,W,M,
21,Austin PD,Ofc. Johnathan Whitted,,33,W,M,
22,Austin PD,Ofc. Donovan Hunter,,31,W,M,
22,Austin PD,Ofc. Ricardo Cardona,,29,H,M,
22,Austin PD,Ofc. Nicholas Moore,,30,W,M,
22,Austin PD,Ofc. Matthew Henion,,28,W,M,
23,Austin PD,Ofc. Justin Boehm,,26,W,M,Fired
24,Austin PD,Ofc. Robert Barger,,45,W,M,
25,Austin PD,"Det. Charles ""Trey"" Kleinert",,49,W,M,Indicted; charges dropped
26,Austin PD,Ofc. Shane Cunningham,,35,A,M,
27,Austin PD,Ofc. Cory Knop,,29,W,M,
27,Austin PD,Ofc. Cecil Jones,,52,B,M,
27,Austin PD,Ofc. Michael Decker,,30,W,M,
28,Austin PD,Ofc. Adrien Chopin,,34,W,M,
28,Austin PD,Ofc. Leonardo Cardenas,,34,H,M,
29,Austin PD,Ofc. Shaun Donovan,,33,W,M,
30,Austin PD,Ofc. Eric Copeland,,36,W,M,
31,Austin PD,Ofc. George Blanch,,36,W,M,
32,Austin PD,Ofc. Robert Krummel,,27,W,M,
33,Austin PD,Ofc. Steven Pena,,27,H,M,
34,Austin PD,Ofc. Nathan Wagner,,28,W,M,
35,Austin PD,Ofc. Eduardo Pena,,33,H,M,
35,Austin PD,Ofc. Branden Kunkel,,38,W,M,
36,Austin PD,Ofc. Derrick Bowman,,28,W,M,
37,Austin PD,Ofc. Christopher Allen,,34,W,M,Fired
37,Austin PD,TCSO Dep. Tracy Stirman,,46,W,M,
38,Austin PD,Det. Tom Hugonnett,,44,W,M,
39,Austin PD,Cpl. Javier Bustos,,42,H,M,
40,Austin PD,Ofc. Derrick Bowman,,27,W,M,
41,Austin PD,Ofc. Jason Martin,,30,W,M,
41,Austin PD,Ofc. Will Ray,,25,W,M,
42,Austin PD,Ofc. Frank Wilson V,,36,B,M,
43,Austin PD,Ofc. Daniel Hannah,,27,W,M,
44,Austin PD,Ofc. Luke Serrato,,31,W,M,
45,Austin PD,Ofc. Jessica Martinez,,29,H,F,
45,Austin PD,Ofc. Troy Wiser,,28,W,M,
46,Austin PD,Ofc. Robert Pfaff,,33,W,M,
47,Austin PD,Ofc. Matthew Murphy,,28,W,M,
47,Austin PD,Ofc. John Nelson,,32,W,M,
47,Austin PD,Ofc. Stephen Johnson,,25,A,M,
48,Austin PD,Ofc. Carlos Lopez,,36,H,M,
49,Austin PD,Ofc. Patrick Cheatham,,36,W,M,
50,College  Station PD,Det. Andrew Murph,,42,W,M,
